Denumire,PretFMC,StocTKR,StocTKRM,RealimentareStoc
M/PSonyXperiaE5White,138,2,26,EOL-numairevine
M/PSonyXperiaM4AquaBlack,179,5,0,EOL-numairevine
M/PSonyXperiaXABlack,178,0,17,EOL-numairevine
M/PSonyXperiaXARoseGold,178,1,3,EOL-numairevine
M/PSonyXperiaXAWhite,178,0,22,EOL-numairevine
M/PSonyXperiaXblack,394,0,15,EOL-numairevine
M/PSonyXperiaXwhite,394,0,5,EOL-numairevine
M/PSonyXperiaXZ1dualsimBlack,512,4,12,Necunoscut
M/PSonyXperiaXZ1dualsimBlue,512,0,4,Necunoscut
"MacBookAir13""i5DC1.8GHz/8GB/128GB.mqd32ro/a",972,30,0,
mem_cardSD-micro16GBKingmax,7,0,3,
mem_cardSD-micro16GBTellurClasa10,7,7,0,
mem_cardSD-micro32GBTellurClasa10,14,21,29,
mem_cardSD-micro4GBTellur,3,0,0,EOL-numairevine
mem_cardSD-micro8GBTellurClasa10,5,2,0,
MIIX320.10.1HDIPS.CPUZ8350.RAM4GLPDDR3.LTE.W10HOME.MIIX320-10ICR,304,71,0,
MobilePhoneRugGearRG310,242,3,0,Necunoscut
MobilePhoneRugGearRG500,313,65,0,Necunoscut
MOBILINKGSM,173,13,15,Necunoscut
Modem4GConnectE3372h,34,871,77,Necunoscut
Modem4GConnectE5577cHOTSPOT,45,24,4,EOL-numairevine
MonitorAsusVS247NR,102,0,0,Necunoscut
MonitorAsusVS278H,178,14,0,
MonitorTVLG22MT49DF-PZ.AEU,118,39,0,
MultifunctionalaLaserXeroxWorkCenter3215,133,134,0,
"NBBackpackROGRanger17"".90XB0310-BBP010",75,3,0,
Pachet58-PBX-Panasonic-3trkanalog.8ext.hibride.1terminaldigital.1DISAcumesajdeintampinare180s.noCID,298,0,0,Necunoscut
Pachet81-IPPBX-eMG804trkanalogice.1trkSIPcu2canale.8extensiihibride.1terminaldigital.voicemail,375,0,0,Necunoscut
Pachet86-IPPBX-eMG80-4trkanalogice.1trkSIPcu2canale.16extensiihibride.1terminaldigital.voicemai,516,0,0,Necunoscut
Pachet95-PBX-Panasonic-2trkSIPcucate2canaleIPfiecare.6trkanalogice.16extensiianalogice.2extensii,899,0,0,Necunoscut
Pachet96-PBX-Panasonic-1trkSIPcu10canaleIP.6trkanalogice.24extensiianalogice.2extensiidigitale.4,"1,192",0,0,Necunoscut
PachetSmartpentrubirouComfort,152,68,0,
PachetSmartpentrubirouSecurity,204,10,0,
PowerEdgeT410TowerChassis.Upto6x3.5CabledHDDs.LEDDiagnostics.C2.TPM.210-31925,"2,627",6,0,EOL-numairevine
RouterHuaweiB315s,87,0,80,Necunoscut
SamsungGalaxyTabActive(LTE)T365Black,366,35,0,EOL-numairevine
SamsungGalaxyTabS(8.4'')T705black,363,7,0,EOL-numairevine
SamsungGear360(2017)White,184,9,13,
SamsungGearIconXIn-earHeadsetBlack,128,4,0,
SamsungGearVR3SM-R324NZAAROM,104,6,0,
"SamsungTabE.9.6"".3GBlack",156,1585,0,Necunoscut
"SamsungTabS2.8"".LTEBlack",444,87,0,Necunoscut
"SamsungTabS2.9.7"".LTEBlack",501,49,0,Necunoscut
ServerDellPowerEdgeT110II.IntelXeonE3-1220.4G.Upto4x3.5CabledHDDs.210-35874,"1,532",9,0,EOL-numairevine
"ServerNECT110g-E.XeonE3-1220v3(3.1GHz.8MB).4GB.1TBHDD.WS2012R2.21.5""Philips223V5LSB2/10","1,393",9,0,Necunoscut
ShopTVSamsungLH48RHEELGW/EN,599,113,0,Necunoscut
SiliconecaseiPhone7PlusRedMMQV2ZM/A,33,5,3,
SiliconecaseiPhone7RedMMWN2ZM/A,28,5,4,
SirenDCH-S220,48,5,0,
SirenDCH-Z510,53,5,0,
SmartPlug,38,4,0,
SmartTVSamsungUE32M5502AKXXH,391,14,0,
SmartTVUE55M5502AKXXH,813,0,0,
T/CH3USBPorts5.0AQualcomm3.0,15,6,10,
TabletaHuaweiMediapadT110,187,4,3,Necunoscut
TabletaHuaweiMediapadT18,155,2,27,Necunoscut
"TabletaLenovoMIIX310,ProcesorZ8350,10.1""LED,2GB,64GBSSD,W10,LTE,80SG005FRI",271,833,1,Necunoscut
TabletaLenovoTab410HD,187,0,23,Necunoscut
TabletaLenovoTB3-730X16GBLTE,95,0,24,Necunoscut
TabletanJoyKali8LTE,85,0,28,EOL-numairevine
TabletanJoyTheia10,106,0,46,Necunoscut
TabletaSamsungGalaxyTabS34GT825,593,121,0,
TabletaSamsungTabA10.1(T585),248,0,1,Necunoscut
TelefonanalogicPanasoniccucallerIDKX-TS560FXB,25,0,0,
TelefonDectGigasetA116,14,156,0,
"TelefonDECTPanasoniccuecranmatricialcuafisarepeunrand,KX-TGB210FXB",16,0,0,Necunoscut
ThinkVisualE2054.19.5''WideIPS.1440x900.1000:1.250cd/mp.VGA.7ms. 1000022116,87,3,0,
"TVJVC32""D-LEDHDRLT-32VH30K",179,0,0,
"TVJVC43""D-LEDHDRSMARTLT-43VF52K",336,4,0,
"TVJVC49""DLEDUHDSMARTWIFIDVBT2/C/S2ChromeDoubleNeckStandLT-49VU72K",427,34,0,
TVJVC-LT-32VH52K,202,1,0,Necunoscut
TVJVC-LT-55VU72K,466,282,0,
TVSamsungLH55RHEELGW/EN,941,127,0,Necunoscut
TVSamsungRM48D,597,24,0,EOL-numairevine
TVSamsungUE49K5102AKXBT,504,113,0,Necunoscut
TVSamsungUE55J5100AWXXH,708,25,0,EOL-numairevine
TVSamsungUE55K5102AKXBT,718,112,0,Necunoscut
USBFlashDriveTellurforiPhone16GB,37,4,5,EOL-numairevine
USBFlashDriveTellurforiPhone32GB,49,5,2,EOL-numairevine
USBFlashDriveTellurforiPhone64GB,71,5,4,EOL-numairevine
Watersensor,57,5,0,
Wi-fiaudioExtender,39,5,0,
Wi-fiMotionsensor,34,5,0,
